# Portcard          Module                     AOH channel
FPix_BmI_D1_PRT1        FPix_BmI_D1_BLD1_PNL1        1
FPix_BmI_D1_PRT1        FPix_BmI_D1_BLD1_PNL2        2
FPix_BmI_D1_PRT1        FPix_BmI_D1_BLD2_PNL1        3
FPix_BmI_D1_PRT1        FPix_BmI_D1_BLD2_PNL2        4
FPix_BmI_D1_PRT1        FPix_BmI_D1_BLD3_PNL1        5
FPix_BmI_D1_PRT1        FPix_BmI_D1_BLD3_PNL2        6
FPix_BmI_D2_PRT1        FPix_BmI_D2_BLD1_PNL1        1
FPix_BmI_D2_PRT1        FPix_BmI_D2_BLD1_PNL2        2
FPix_BmI_D2_PRT1        FPix_BmI_D2_BLD2_PNL1        3
FPix_BmI_D2_PRT1        FPix_BmI_D2_BLD2_PNL2        4
FPix_BmI_D2_PRT1        FPix_BmI_D2_BLD3_PNL1        5
FPix_BmI_D2_PRT1        FPix_BmI_D2_BLD3_PNL2        6
FPix_BmI_D1_PRT2        FPix_BmI_D1_BLD4_PNL1        1
FPix_BmI_D1_PRT2        FPix_BmI_D1_BLD4_PNL2        2
FPix_BmI_D1_PRT2        FPix_BmI_D1_BLD5_PNL1        3
FPix_BmI_D1_PRT2        FPix_BmI_D1_BLD5_PNL2        4
FPix_BmI_D1_PRT2        FPix_BmI_D1_BLD6_PNL1        5
FPix_BmI_D1_PRT2        FPix_BmI_D1_BLD6_PNL2        6
FPix_BmI_D2_PRT2        FPix_BmI_D2_BLD4_PNL1        1
FPix_BmI_D2_PRT2        FPix_BmI_D2_BLD4_PNL2        2
FPix_BmI_D2_PRT2        FPix_BmI_D2_BLD5_PNL1        3
FPix_BmI_D2_PRT2        FPix_BmI_D2_BLD5_PNL2        4
FPix_BmI_D2_PRT2        FPix_BmI_D2_BLD6_PNL1        5
FPix_BmI_D2_PRT2        FPix_BmI_D2_BLD6_PNL2        6
FPix_BmI_D1_PRT3        FPix_BmI_D1_BLD7_PNL1        1
FPix_BmI_D1_PRT3        FPix_BmI_D1_BLD7_PNL2        2
FPix_BmI_D1_PRT3        FPix_BmI_D1_BLD8_PNL1        3
FPix_BmI_D1_PRT3        FPix_BmI_D1_BLD8_PNL2        4
FPix_BmI_D1_PRT3        FPix_BmI_D1_BLD9_PNL1        5
FPix_BmI_D1_PRT3        FPix_BmI_D1_BLD9_PNL2        6
FPix_BmI_D2_PRT3        FPix_BmI_D2_BLD7_PNL1        1
FPix_BmI_D2_PRT3        FPix_BmI_D2_BLD7_PNL2        2
FPix_BmI_D2_PRT3        FPix_BmI_D2_BLD8_PNL1        3
FPix_BmI_D2_PRT3        FPix_BmI_D2_BLD8_PNL2        4
FPix_BmI_D2_PRT3        FPix_BmI_D2_BLD9_PNL1        5
FPix_BmI_D2_PRT3        FPix_BmI_D2_BLD9_PNL2        6
FPix_BmI_D1_PRT4        FPix_BmI_D1_BLD10_PNL1        1
FPix_BmI_D1_PRT4        FPix_BmI_D1_BLD10_PNL2        2
FPix_BmI_D1_PRT4        FPix_BmI_D1_BLD11_PNL1        3
FPix_BmI_D1_PRT4        FPix_BmI_D1_BLD11_PNL2        4
FPix_BmI_D1_PRT4        FPix_BmI_D1_BLD12_PNL1        5
FPix_BmI_D1_PRT4        FPix_BmI_D1_BLD12_PNL2        6
FPix_BmI_D2_PRT4        FPix_BmI_D2_BLD10_PNL1        1
FPix_BmI_D2_PRT4        FPix_BmI_D2_BLD10_PNL2        2
FPix_BmI_D2_PRT4        FPix_BmI_D2_BLD11_PNL1        3
FPix_BmI_D2_PRT4        FPix_BmI_D2_BLD11_PNL2        4
FPix_BmI_D2_PRT4        FPix_BmI_D2_BLD12_PNL1        5
FPix_BmI_D2_PRT4        FPix_BmI_D2_BLD12_PNL2        6
FPix_BmO_D1_PRT1        FPix_BmO_D1_BLD3_PNL1        1
FPix_BmO_D1_PRT1        FPix_BmO_D1_BLD3_PNL2        2
FPix_BmO_D1_PRT1        FPix_BmO_D1_BLD2_PNL1        3
FPix_BmO_D1_PRT1        FPix_BmO_D1_BLD2_PNL2        4
FPix_BmO_D1_PRT1        FPix_BmO_D1_BLD1_PNL1        5
FPix_BmO_D1_PRT1        FPix_BmO_D1_BLD1_PNL2        6
FPix_BmO_D2_PRT1        FPix_BmO_D2_BLD3_PNL1        1
FPix_BmO_D2_PRT1        FPix_BmO_D2_BLD3_PNL2        2
FPix_BmO_D2_PRT1        FPix_BmO_D2_BLD2_PNL1        3
FPix_BmO_D2_PRT1        FPix_BmO_D2_BLD2_PNL2        4
FPix_BmO_D2_PRT1        FPix_BmO_D2_BLD1_PNL1        5
FPix_BmO_D2_PRT1        FPix_BmO_D2_BLD1_PNL2        6
FPix_BmO_D1_PRT2        FPix_BmO_D1_BLD6_PNL1        1
FPix_BmO_D1_PRT2        FPix_BmO_D1_BLD6_PNL2        2
FPix_BmO_D1_PRT2        FPix_BmO_D1_BLD5_PNL1        3
